district,crop_type,season,rainfall_mm,temperature_c,reservoir_level,population_density,irrigated_area_ha,groundwater_depth_m,soil_moisture_index,evapotranspiration_mm,industrial_usage_mcm,water_demand_mcm
Cuddalore,Paddy (Kuruvai),Year-round,1295.3,27.2,0.399,627.0,8732.0,20.8,0.723,12.0,2.16,1069.82
Nagapattinam,Turmeric,Rabi (Nov-Mar),935.9,22.8,0.624,566.0,5673.0,41.7,0.585,10.76,4.18,515.52
Chennai,Coconut,Zaid (Apr-May),269.9,39.3,0.295,26526.0,11958.0,72.9,0.401,12.0,12.53,2716.25
Thiruvarur,Vegetables,Zaid (Apr-May),423.2,35.6,0.632,499.0,13365.0,62.5,0.509,12.0,3.95,1248.23
Chengalpattu,Maize,Zaid (Apr-May),355.8,35.2,0.64,1094.0,13489.0,64.0,0.508,12.0,1.02,1337.3
Ramanathapuram,Banana,Kharif (Jun-Oct),1233.0,31.1,0.774,237.0,13136.0,64.5,0.769,12.0,4.55,1271.9
Thiruvarur,Paddy (Kuruvai),Kharif (Jun-Oct),1432.0,32.3,0.819,438.0,7530.0,54.4,0.732,12.0,0.97,814.95
Tiruvannamalai,Pulses,Zaid (Apr-May),183.3,37.9,0.623,547.0,1246.0,56.7,0.484,12.0,0.89,101.57
Chengalpattu,Vegetables,Rabi (Nov-Mar),1006.4,24.4,0.663,1125.0,11059.0,45.1,0.706,12.0,3.02,699.41
Ramanathapuram,Sugarcane,Year-round,704.7,28.6,0.589,249.0,5556.0,36.2,0.565,12.0,2.66,897.61
Chennai,Tomato,Year-round,1333.0,33.7,0.549,26565.0,3814.0,28.0,0.745,12.0,9.27,746.77
Thoothukudi,Coconut,Zaid (Apr-May),192.2,38.9,0.566,475.0,13373.0,80.0,0.417,12.0,2.0,2053.23
Tirupathur,Sugarcane,Kharif (Jun-Oct),1409.3,29.6,0.711,520.0,10827.0,29.9,0.828,12.0,3.4,1674.84
Thiruvarur,Vegetables,Year-round,1175.2,30.3,0.937,491.0,14694.0,48.3,0.617,12.0,1.9,692.63
Thiruvarur,Onion,Zaid (Apr-May),217.5,36.1,0.648,504.0,853.0,76.2,0.366,12.0,4.98,75.98
